input1,input2,target1,target2
203.2,999.8,1085.9,1197.0
206.1,997.5,1102.8,1218.0
209.3,998.0,1117.0,1223.0
211.9,997.9,1131.1,1232.0
215.2,999.0,1137.1,1246.0
219.4,998.4,1158.4,1253.0
221.2,998.6,1174.9,1237.0
222.1,998.0,1190.1,1249.0
224.9,998.8,1199.3,1260.0
228.5,999.9,1218.1,1273.0
233.0,998.9,1233.4,1287.0
235.9,998.1,1246.9,1273.0
237.7,996.9,1262.9,1276.0
239.7,997.8,1268.2,1284.0
243.2,999.1,1282.4,1296.0
246.3,999.2,1296.6,1295.0
247.6,998.0,1321.2,1288.0
249.1,997.7,1326.7,1301.0
252.1,998.2,1345.9,1300.0
254.6,998.9,1355.4,1302.0
259.2,998.1,1372.7,1304.0
260.5,996.7,1381.0,1311.0
261.8,997.2,1396.7,1319.0
262.9,997.9,1410.2,1322.0
266.7,999.5,1420.4,1323.0
270.4,1006.0,1438.8,1320.0
274.1,1012.3,1466.0,1309.0
278.5,1016.3,1472.8,1305.0
281.3,1025.1,1496.8,1276.0
283.2,1029.2,1506.7,1257.0
284.6,1035.4,1528.6,1244.0
288.6,1040.0,1546.0,1230.0
291.2,1044.8,1559.1,1218.0
293.5,1051.1,1569.9,1202.0
296.5,1060.0,1586.3,1183.0
300.2,1063.5,1604.6,1163.0
301.6,1067.0,1618.1,1151.0
302.9,1076.2,1616.7,1132.0
304.6,1082.9,1641.6,1121.0
308.1,1085.7,1657.4,1113.0
308.8,1091.0,1668.3,1099.0
310.0,1096.1,1675.7,1094.0
312.1,1101.4,1672.9,1093.0
314.0,1110.2,1700.2,1089.0
312.9,1110.8,1684.8,1072.0
308.9,1106.7,1669.3,1069.0
304.7,1103.4,1640.1,1090.0
302.0,1106.3,1622.9,1103.0
298.9,1107.9,1622.3,1107.0
296.7,1105.7,1581.4,1112.0
292.6,1106.6,1586.1,1106.0
288.9,1107.0,1555.2,1106.0
285.4,1105.4,1550.7,1111.0
283.2,1104.6,1522.1,1112.0
279.7,1105.4,1502.6,1113.0
276.1,1106.2,1494.9,1112.0
273.8,1104.6,1468.0,1125.0
269.5,1107.8,1474.0,1108.0
267.4,1103.8,1426.3,1118.0
264.8,1107.0,1427.5,1115.0
262.6,1106.6,1402.8,1114.0
258.9,1106.4,1396.8,1113.0
255.5,1106.2,1377.5,1112.0
252.8,1105.6,1341.2,1110.0
249.4,1106.2,1346.2,1118.0
246.5,1105.9,1314.3,1111.0
243.1,1105.8,1314.1,1108.0
240.2,1106.8,1282.4,1110.0
236.5,1106.2,1273.6,1101.0
232.5,1105.4,1252.7,1097.0
229.8,1105.2,1231.6,1097.0
226.7,1106.8,1232.0,1101.0
223.8,1106.5,1191.1,1098.0
220.9,1106.8,1198.6,1094.0
217.8,1105.2,1164.9,1102.0
214.9,1105.8,1157.7,1099.0
211.9,1107.0,1143.1,1084.0
208.9,1105.2,1110.9,1081.0
205.5,1107.8,1108.3,1073.0
201.5,1106.0,1078.7,1067.0
198.9,1106.4,1078.2,1076.0
197.0,1107.5,1052.2,1066.0
193.9,1105.7,1035.7,1062.0
189.9,1106.8,1018.2,1075.0
185.0,1108.7,1012.6,1150.0
180.0,1107.3,995.4,1269.0
175.5,1104.5,963.5,1384.0
170.6,1105.5,953.1,1487.0
167.3,1107.2,935.2,1556.0
164.3,1105.8,921.6,1612.0
161.9,1105.4,901.5,1659.0
159.5,1107.2,882.3,1703.0
156.9,1106.3,869.4,1755.0
154.1,1106.7,849.0,1774.0
151.4,1106.7,839.8,1765.0
148.1,1105.2,810.7,1738.0
144.9,1106.1,801.0,1713.0
143.0,1106.4,774.4,1698.0
141.2,1106.5,768.1,1683.0
137.7,1106.2,749.1,1651.0
134.5,1105.1,731.6,1612.0
131.9,1106.1,713.7,1598.0
129.9,1105.9,691.9,1575.0
126.7,1106.6,684.2,1540.0
124.2,1106.4,664.2,1514.0
121.7,1106.1,648.9,1478.0
118.4,1104.8,631.4,1448.0
116.0,1105.9,606.9,1434.0
113.7,1106.9,601.6,1401.0
110.7,1105.4,577.7,1355.0
107.1,1106.1,565.8,1311.0
104.2,1107.0,546.8,1279.0
101.5,1107.8,525.7,1243.0
99.4,1105.2,516.8,1199.0
96.8,1103.9,488.4,1180.0
93.7,1106.6,484.5,1127.0
90.5,1106.6,452.8,1077.0
88.3,1104.1,447.5,1051.0
86.0,1106.3,426.6,1011.0
83.6,1105.3,410.9,965.0
80.8,1105.9,397.0,923.0
78.3,1107.0,374.2,884.0
75.9,1106.3,362.0,855.0
73.4,1105.4,343.1,830.0
70.5,1106.1,326.6,791.0
67.3,1106.3,312.4,743.0
64.5,1106.1,291.5,712.0
62.4,1106.4,274.1,679.0
59.7,1104.3,257.4,645.0
56.7,1106.6,242.2,619.0
54.0,1107.1,228.1,596.0
51.7,1105.5,206.1,578.0
49.6,1104.9,192.0,559.0
46.9,1106.8,179.6,534.0
44.0,1105.3,156.9,514.0
41.0,1105.8,139.0,486.0
38.5,1105.1,120.4,469.0
36.0,1104.5,103.4,445.0
33.5,1105.3,80.7,412.0
31.0,1106.1,63.8,381.0
29.0,1107.0,66.4,356.0
27.1,1106.9,43.8,319.0
24.8,1106.5,35.4,275.0
22.1,1103.3,-1.9,0.0
18.6,1098.6,-56.1,0.0
11.8,1102.2,-120.0,0.0
6.5,1118.3,-124.6,0.0
4.2,1128.8,-131.6,0.0
3.0,1136.6,-127.4,0.0
2.4,1139.6,-115.6,0.0
1.9,1145.7,-125.8,0.0
1.5,1152.2,-127.9,0.0
1.4,1156.3,-125.3,0.0
1.2,1164.4,-130.6,0.0
1.1,1170.1,-126.1,0.0
1.0,1174.6,-123.3,0.0
0.9,1180.3,-128.2,0.0
0.8,1186.3,-135.6,0.0
0.8,1193.3,-130.1,0.0
0.7,1198.1,-130.5,0.0
0.7,1203.1,-121.3,0.0
0.6,1209.8,-134.1,0.0
2.8,1226.2,-72.0,0.0
9.9,1239.7,4.5,140.0
15.0,1230.4,7.7,167.0
17.6,1228.0,28.0,199.0
20.3,1231.1,46.8,241.0
23.0,1228.8,65.9,272.0
25.2,1229.1,65.1,306.0
27.7,1228.8,101.5,357.0
30.8,1232.1,110.9,409.0
34.3,1226.2,139.7,450.0
37.0,1230.9,156.1,476.0
39.7,1228.1,176.6,498.0
41.8,1229.5,174.5,531.0
45.5,1228.8,210.5,573.0
48.4,1229.9,221.3,597.0
51.5,1229.0,248.5,625.0
54.4,1230.6,251.2,644.0
58.0,1229.3,281.0,663.0
60.2,1228.1,291.2,683.0
63.1,1230.4,318.2,715.0
66.1,1228.5,325.9,750.0
68.9,1229.6,350.6,783.0
70.9,1229.3,364.9,810.0
73.8,1230.2,384.5,856.0
77.2,1228.3,410.3,898.0
79.5,1230.0,419.2,925.0
81.9,1228.0,431.4,961.0
84.9,1230.7,453.7,1014.0
87.8,1228.1,472.7,1053.0
90.5,1231.7,492.6,1100.0
94.0,1226.5,518.6,1144.0
96.2,1231.5,518.8,1187.0
99.6,1228.0,549.3,1223.0
102.7,1230.7,554.4,1268.0
106.5,1226.1,592.2,1301.0
108.9,1229.0,589.8,1317.0
112.0,1230.3,618.1,1334.0
115.2,1230.3,627.0,1375.0
117.9,1230.3,660.8,1381.0
120.9,1228.5,662.4,1416.0
123.8,1229.0,695.5,1422.0
125.4,1230.6,700.7,1449.0
129.7,1228.2,731.0,1470.0
133.2,1229.5,727.2,1486.0
135.9,1233.4,765.2,1479.0
139.3,1224.8,770.1,1519.0
141.8,1231.7,799.9,1508.0
145.6,1226.0,799.5,1552.0
147.6,1233.6,837.3,1524.0
150.4,1226.0,847.0,1546.0
153.2,1230.8,871.8,1569.0
157.0,1225.4,883.0,1594.0
159.6,1230.9,892.7,1590.0
162.0,1227.0,924.2,1581.0
163.9,1230.2,927.7,1589.0
166.4,1227.2,958.0,1582.0
169.4,1231.2,962.9,1594.0
172.8,1227.5,998.6,1607.0
176.3,1226.8,994.5,1658.0
179.6,1229.9,1038.8,1655.0
183.1,1228.5,1032.6,1677.0
185.4,1230.2,1069.8,1667.0
188.2,1227.4,1069.5,1695.0
190.5,1231.0,1107.2,1685.0
194.2,1227.8,1106.9,1736.0
196.7,1231.6,1138.9,1720.0
200.4,1225.5,1139.8,1744.0
202.9,1231.9,1176.9,1706.0
206.0,1226.3,1178.7,1697.0
207.9,1230.4,1203.9,1667.0
211.7,1226.0,1226.5,1683.0
214.6,1233.0,1237.7,1665.0
218.1,1225.3,1258.9,1678.0
220.7,1232.2,1268.2,1682.0
222.9,1226.0,1298.1,1670.0
226.2,1228.3,1302.7,1672.0
229.3,1232.0,1332.4,1628.0
232.6,1227.2,1338.2,1658.0
234.4,1228.8,1369.2,1647.0
238.2,1228.1,1376.0,1669.0
240.9,1231.7,1406.3,1643.0
243.8,1227.1,1405.6,1649.0
246.8,1232.0,1435.8,1622.0
250.5,1224.2,1449.7,1656.0
254.6,1232.7,1460.4,1640.0
257.4,1227.9,1493.5,1598.0
260.0,1230.3,1505.7,1579.0
262.6,1227.0,1523.6,1574.0
266.0,1231.5,1535.2,1578.0
268.3,1227.5,1562.6,1571.0
271.4,1229.1,1572.9,1574.0
273.6,1228.0,1595.7,1565.0
277.1,1228.5,1606.0,1582.0
280.6,1230.2,1635.0,1543.0
284.4,1228.5,1641.1,1538.0
286.5,1230.0,1674.9,1516.0
289.6,1226.5,1670.1,1530.0
292.7,1232.3,1712.8,1496.0
297.5,1226.7,1711.9,1496.0
300.1,1232.2,1742.8,1472.0
304.2,1225.8,1747.5,1486.0
305.3,1233.1,1776.4,1454.0
307.3,1225.2,1783.2,1462.0
307.0,1233.8,1769.7,1447.0
306.7,1236.2,1769.5,1446.0
307.2,1244.8,1779.2,1438.0
306.4,1252.3,1774.9,1434.0
306.9,1255.1,1770.3,1429.0
306.5,1261.1,1775.2,1408.0
307.5,1267.8,1781.7,1404.0
308.0,1271.1,1763.0,1406.0
307.4,1279.5,1771.0,1381.0
307.3,1283.8,1779.2,1371.0
307.0,1290.5,1769.5,1357.0
306.2,1297.8,1784.3,1347.0
307.1,1301.8,1771.9,1350.0
307.7,1307.4,1765.8,1326.0
307.4,1312.9,1779.2,1328.0
307.6,1317.9,1778.0,1317.0
307.1,1325.6,1778.8,1287.0
306.8,1332.4,1775.5,1262.0
306.0,1338.4,1783.8,1241.0
305.3,1337.0,1776.8,1235.0
301.0,1336.3,1740.6,1244.0
297.7,1335.3,1723.4,1262.0
293.0,1336.5,1710.5,1276.0
290.7,1334.1,1689.8,1303.0
287.8,1336.4,1669.2,1310.0
285.1,1336.3,1653.9,1331.0
281.5,1336.4,1637.3,1342.0
278.5,1336.3,1620.1,1362.0
274.6,1337.1,1601.8,1378.0
271.5,1333.3,1579.7,1396.0
267.9,1336.8,1569.5,1405.0
265.1,1335.6,1548.9,1411.0
261.6,1335.4,1529.4,1434.0
259.5,1336.7,1510.2,1445.0
256.2,1335.3,1493.0,1443.0
252.5,1336.0,1477.0,1448.0
250.5,1336.4,1460.2,1463.0
247.3,1335.8,1440.1,1477.0
243.5,1336.2,1420.9,1488.0
240.5,1337.6,1405.3,1495.0
237.6,1336.8,1384.4,1505.0
233.8,1336.4,1370.0,1511.0
231.1,1336.1,1363.5,1537.0
228.6,1336.6,1327.5,1545.0
225.5,1336.7,1322.4,1548.0
222.3,1335.5,1302.1,1560.0
219.4,1336.7,1289.6,1568.0
217.3,1337.1,1270.8,1566.0
213.7,1336.6,1243.7,1577.0
211.1,1333.2,1230.1,1598.0
207.9,1336.6,1211.3,1599.0
205.7,1336.3,1195.3,1610.0
202.5,1334.8,1172.4,1623.0
199.7,1336.2,1159.4,1627.0
196.7,1336.8,1144.0,1640.0
194.8,1335.0,1122.1,1636.0
191.2,1336.0,1101.5,1625.0
188.3,1336.1,1081.0,1632.0
185.6,1336.7,1070.0,1625.0
182.5,1335.9,1054.6,1632.0
180.1,1335.2,1031.1,1631.0
177.6,1336.9,1017.0,1621.0
174.9,1336.4,998.6,1607.0
172.3,1336.0,981.2,1595.0
169.5,1336.0,959.7,1596.0
167.4,1336.0,946.1,1596.0
164.7,1336.6,931.3,1576.0
161.6,1336.6,912.0,1557.0
158.8,1335.8,890.9,1555.0
156.3,1336.7,873.5,1534.0
153.9,1332.2,857.9,1533.0
152.3,1333.5,837.5,1522.0
149.5,1337.1,816.5,1493.0
147.0,1338.5,804.1,1468.0
143.9,1335.6,787.8,1437.0
140.9,1336.1,767.3,1432.0
137.9,1335.5,752.7,1412.0
134.5,1335.6,735.5,1390.0
131.6,1335.3,716.3,1361.0
128.6,1335.8,695.8,1338.0
126.4,1336.4,680.0,1312.0
123.2,1335.7,661.5,1286.0
120.1,1336.2,645.6,1255.0
117.7,1333.6,621.0,1254.0
115.2,1336.6,612.5,1222.0
112.6,1335.0,590.2,1204.0
110.0,1337.0,572.7,1175.0
107.0,1335.8,553.9,1144.0
104.4,1336.2,533.4,1121.0
102.2,1337.1,521.4,1091.0
99.2,1336.0,500.8,1045.0
95.7,1334.6,487.4,1008.0
93.1,1335.8,466.0,974.0
90.4,1336.6,446.0,927.0
87.2,1336.3,435.2,881.0
83.5,1336.2,416.1,836.0
80.9,1335.5,393.5,807.0
78.8,1336.6,376.5,775.0
76.3,1336.6,363.0,743.0
74.0,1336.2,344.8,711.0
71.5,1335.6,325.3,674.0
68.7,1334.7,301.8,639.0
66.1,1335.0,290.3,609.0
63.4,1336.6,271.9,575.0
60.9,1336.6,257.8,547.0
57.9,1335.6,239.1,513.0
54.7,1334.2,219.6,484.0
52.1,1336.4,205.6,460.0
50.0,1336.2,187.4,441.0
47.4,1335.8,170.0,416.0
44.1,1335.6,147.6,390.0
41.1,1334.4,130.6,369.0
38.4,1336.6,107.6,350.0
36.0,1335.6,93.9,332.0
33.5,1336.4,80.5,313.0
31.3,1336.0,68.0,293.0
28.5,1334.7,46.3,265.0
25.8,1335.4,25.1,227.0
23.3,1334.8,11.1,185.0
18.9,1328.1,-65.3,0.0
11.1,1328.7,-136.6,0.0
6.0,1348.3,-141.8,0.0
4.1,1358.6,-145.2,0.0
2.9,1366.0,-141.5,0.0
2.3,1369.6,-141.3,0.0
1.9,1375.8,-145.1,0.0
1.6,1383.4,-143.5,0.0
1.4,1386.3,-145.1,0.0
1.3,1391.8,-146.1,0.0
1.1,1400.0,-145.5,0.0
1.1,1405.1,-143.3,0.0
1.0,1411.3,-151.7,0.0
1.0,1415.4,-146.8,0.0
1.0,1421.9,-145.2,0.0
0.9,1427.9,-149.6,0.0
0.9,1433.7,-146.1,0.0
1.0,1439.8,-147.0,0.0
4.8,1458.5,-72.2,0.0
12.7,1470.7,7.4,144.0
17.2,1460.0,5.3,174.0
20.0,1461.7,35.7,201.0
22.7,1460.3,37.3,234.0
25.3,1459.8,62.5,264.0
27.8,1456.7,72.2,291.0
30.7,1459.2,104.9,323.0
33.7,1459.6,116.4,344.0
36.6,1459.5,123.6,364.0
39.5,1458.7,148.5,384.0
42.0,1457.0,166.5,398.0
44.0,1460.5,189.8,413.0
46.8,1459.0,195.5,431.0
49.9,1458.7,212.7,455.0
53.4,1460.1,237.6,484.0
56.7,1458.9,257.3,500.0
59.4,1458.8,272.2,512.0
62.0,1459.1,283.0,536.0
64.9,1459.4,313.5,558.0
67.4,1460.0,327.2,577.0
69.9,1459.7,348.2,597.0
72.4,1459.8,360.2,626.0
75.4,1457.1,377.7,656.0
78.3,1459.9,397.1,694.0
81.7,1458.1,405.6,745.0
84.4,1458.5,435.0,767.0
86.1,1459.8,450.8,799.0
89.1,1458.9,468.8,833.0
92.3,1459.2,484.4,868.0
95.3,1458.2,500.4,899.0
97.6,1457.4,517.3,926.0
100.2,1459.0,534.5,969.0
103.7,1459.3,556.2,998.0
106.6,1459.0,572.1,1019.0
109.2,1460.3,589.0,1035.0
111.5,1458.0,609.5,1052.0
113.4,1460.1,622.8,1078.0
116.2,1459.3,644.2,1108.0
119.5,1458.6,664.9,1133.0
121.9,1458.1,675.4,1152.0
125.0,1459.9,692.8,1178.0
128.1,1460.0,713.4,1208.0
130.9,1459.1,731.7,1221.0
132.8,1459.7,745.7,1236.0
135.6,1458.8,763.4,1254.0
138.6,1458.8,784.2,1268.0
142.3,1459.8,799.1,1306.0
144.8,1459.0,818.2,1329.0
147.6,1458.8,835.4,1338.0
150.6,1460.1,852.3,1357.0
154.0,1459.4,873.1,1366.0
156.6,1460.2,887.9,1391.0
159.3,1458.0,906.1,1405.0
161.4,1461.9,922.2,1419.0
164.0,1462.4,937.0,1429.0
167.1,1454.9,957.5,1449.0
169.2,1457.5,973.5,1464.0
171.9,1459.4,994.1,1472.0
174.1,1457.9,1013.1,1486.0
177.0,1459.6,1028.3,1500.0
180.4,1456.7,1041.8,1483.0
183.1,1459.8,1066.9,1476.0
186.1,1458.9,1074.2,1484.0
189.6,1459.8,1098.6,1476.0
192.5,1459.7,1117.4,1473.0
195.4,1457.7,1131.2,1459.0
196.9,1458.8,1148.1,1449.0
199.7,1458.8,1166.5,1457.0
